vx_kms,vy_kms,vz_kms,psd_s3_m6,status,total_eV,conv_eV,hall_eV,deltaK_eV,residual_eV
-140.0,-140.0,-200.0,0.0,4,-9700.131669040198,-9679.536210010709,-20.59545873885073,-9700.294070586448,0.1624015462493844
-130.0,-140.0,-200.0,0.0,4,-9787.991801466413,-9767.41430136794,-20.57749859469135,-9788.149642898185,0.15784143177188525
-120.0,-140.0,-200.0,0.0,4,-9874.040253540632,-9853.396339325296,-20.643897952823945,-9874.199749664216,0.15949612358417653
-110.0,-140.0,-200.0,0.0,4,-9957.591605185664,-9936.861672277944,-20.729914144951653,-9957.768789616779,0.17718443111516535
-100.0,-140.0,-200.0,0.0,4,-10037.822568083851,-10017.020217540232,-20.80233334964858,-10037.998358843926,0.17579076007496042
-90.0,-140.0,-200.0,0.0,4,-10115.605776022832,-10094.68161683661,-20.924167930319836,-10115.740118636171,0.13434261333895847
-80.0,-140.0,-200.0,0.0,4,-10191.06908324767,-10170.013379197866,-21.055720161608175,-10191.109430022827,0.04034677515664953
-70.0,-140.0,-200.0,0.0,4,-10262.886370978058,-10241.66615561668,-21.22020097602676,-10262.827644605284,-0.058726372773890034
-60.0,-140.0,-200.0,0.0,4,-10331.880782880799,-10310.481140936663,-21.399646497770547,-10331.811210067479,-0.06957281331960985
-50.0,-140.0,-200.0,0.0,4,-10397.561750453358,-10375.986933207996,-21.57480481000704,-10397.59061951777,0.02886906441199244
-40.0,-140.0,-200.0,0.0,4,-10457.796517284985,-10435.987067219654,-21.809461578185193,-10457.873675594274,0.07715830928827927
-30.0,-140.0,-200.0,0.0,4,-10513.904984339568,-10491.930847586847,-21.974141410783183,-10514.000633683767,0.09564934419904603
-20.0,-140.0,-200.0,0.0,4,-10567.29068301625,-10545.122844207657,-22.167841932474772,-10567.299120014985,0.008436998734396184
-10.0,-140.0,-200.0,0.0,4,-10614.925862567234,-10592.557264735942,-22.368604581662414,-10615.003877862948,0.07801529571406718
0.0,-140.0,-200.0,0.0,4,-10659.273875024626,-10636.77984972621,-22.494002576778012,-10659.362243443025,0.08836841839911358
10.0,-140.0,-200.0,0.0,4,-10698.32473671371,-10675.73274850808,-22.591965191697746,-10698.517184169008,0.19244745529795182
20.0,-140.0,-200.0,0.0,4,-10736.404867443165,-10713.731487949533,-22.673414322242117,-10736.50416715062,0.0992997074554296
30.0,-140.0,-200.0,0.0,4,-10770.18969555548,-10747.140808240796,-23.048845361950686,-10770.212388912798,0.02269335731762112
40.0,-140.0,-200.0,0.0,4,-10798.65954399074,-10775.705338428805,-22.954179548694643,-10798.740392267133,0.08084827639322612
50.0,-140.0,-200.0,0.0,4,-10827.28664262307,-10803.998728424276,-23.28790441499556,-10827.337842276322,0.051199653251387645
